,Text,Link,Date,Source,Label
901,"Before COVID-19, “more Iowans (were) working than at any other time in our state history.""",https://www.politifact.com/factchecks/2021/jan/11/kim-reynolds/pre-pandemic-iowa-had-largest-workforce-state-hist/,"uary 11, 2021",Kim Reynolds,true
902,"""Trump signs Insurrection Act - General Flynn to be appointed vice president.""",https://www.politifact.com/factchecks/2021/jan/11/blog-posting/theres-no-evidence-trump-has-invoked-insurrection-/,"uary 11, 2021",Bloggers,false
903,"Says Pope Francis “was arrested Saturday in connection with an 80-count indictment of charges including possession of child pornography, human trafficking, incest, possession of drug paraphernalia and felony fraud.”",https://www.politifact.com/factchecks/2021/jan/11/conservative-beaver/no-pope-francis-has-not-been-arrested/,"uary 11, 2021",Conservative Beaver,pants-fire
904,Says Nancy Pelosi sent a letter to Portland’s mayor after demonstrations there “urging him to stick to the proven Democratic Play book.”,https://www.politifact.com/factchecks/2021/jan/11/viral-image/no-nancy-pelosi-didnt-send-letter-ted-wheeler/,"uary 11, 2021",Viral image,false
905,Says left-wing activist John Sullivan “incited (the) insurgence of (the) US Capitol.”,https://www.politifact.com/factchecks/2021/jan/09/facebook-posts/facebook-posts-wrongly-claim-left-wing-activist-an/,"nuary 8, 2021",Facebook posts,barely-true
906,“The DC looting was staged” by antifa,https://www.politifact.com/factchecks/2021/jan/08/jonathan-wichmann/no-capitol-insurrection-was-not-staged-antifa/,"nuary 8, 2021",Jonathan Wichmann,pants-fire
907,An image shows National Guard at the Capitol during the Black Lives Matter protests in D.C.,https://www.politifact.com/factchecks/2021/jan/08/facebook-posts/photo-shows-national-guard-lincoln-memorial-not-ca/,"nuary 8, 2021",Facebook posts,barely-true
908,"""This election actually was not unusually close.""",https://www.politifact.com/factchecks/2021/jan/08/mitch-mcconnell/mitch-mcconnell-says-accurately-joe-bidens-win-was/,"nuary 8, 2021",Mitch McConnell,true
909,"32,000 votes for David Perdue “disappeared” during the Georgia Senate runoff election.",https://www.politifact.com/factchecks/2021/jan/08/facebook-posts/georgia-runoff-32000-votes-perdue-didnt-disappear/,"nuary 8, 2021",Facebook posts,barely-true
910,"“Last year, Pennsylvania elected officials passed a whole new law that allows universal mail-in balloting, and did it irregardless of what the Pennsylvania Constitution said.”",https://www.politifact.com/factchecks/2021/jan/08/josh-hawley/fact-checking-hawleys-claim-about-pennsylvania-mai/,"nuary 8, 2021",Josh Hawley,barely-true
911,"Says activists threatened his family and “screamed threats, vandalized, and tried to pound open our door.”",https://www.politifact.com/factchecks/2021/jan/08/josh-hawley/protesters-sen-josh-hawleys-home-were-disruptive-n/,"nuary 8, 2021",Josh Hawley,barely-true
912,"In more than 60 cases, judges “looked at the allegations that Trump was making and determined they were without any merit.”",https://www.politifact.com/factchecks/2021/jan/08/joe-biden/joe-biden-right-more-60-trumps-election-lawsuits-l/,"nuary 8, 2021",Joe Biden,true
913,"A CNN chyron said, “Antifa has just taken responsibility for storming Capital Hill.”",https://www.politifact.com/factchecks/2021/jan/08/viral-image/cnn-chyron-said-antifa-has-just-taken-responsibili/,"nuary 8, 2021",Viral image,false
914,Says Mike Pence was arrested.,https://www.politifact.com/factchecks/2021/jan/08/facebook-posts/no-mike-pence-wasnt-arrested/,"nuary 8, 2021",Facebook posts,false
915,"“The FBI just confirmed that it was ANTIFA, not Trump supporters, who breached the Capitol.”",https://www.politifact.com/factchecks/2021/jan/08/viral-image/no-fbi-didnt-confirm-antifa-activists-breached-cap/,"nuary 8, 2021",Viral image,pants-fire
916,The Simpsons predicted the Capitol riots,https://www.politifact.com/factchecks/2021/jan/08/facebook-posts/no-simpsons-didnt-predict-capitol-riots-those-imag/,"nuary 8, 2021",Facebook posts,pants-fire
917,Kamala Harris is planning to use the 25th Amendment against Joe Biden and appoint Mike Pence as her vice president.,https://www.politifact.com/factchecks/2021/jan/08/facebook-posts/theres-no-harris-plot-oust-biden-and-appoint-pence/,"nuary 8, 2021",Facebook posts,false
918,Says that “those who stormed the capitol yesterday were not Trump supporters. They have been confirmed to be Antifa.”,https://www.politifact.com/factchecks/2021/jan/08/ken-paxton/texas-attorney-general-falsely-states-antifa-storm/,"nuary 8, 2021",Ken Paxton,pants-fire
919,"The woman killed during the Jan. 6 U.S. Capitol assault was shot by a Secret Service agent, not Capitol Police.",https://www.politifact.com/factchecks/2021/jan/08/jonathan-brostoff/capitol-police-not-secret-service-shot-and-killed-/,"nuary 7, 2021",Jonathan Brostoff,false
920,The storming of the Capitol was staged.,https://www.politifact.com/factchecks/2021/jan/07/instagram-posts/no-storming-capitol-wasnt-false-flag/,"nuary 7, 2021",Instagram posts,false
921,Quotes show Democrats supported riots “when BLM was BURNING down cities and killing people in the streets!”,https://www.politifact.com/factchecks/2021/jan/07/facebook-posts/quotes-4-democrats-twisted-make-it-look-they-endor/,"nuary 7, 2021",Facebook posts,barely-true
922,“Evidence growing that fascist ANTIFA orchestrated Capitol attack with clever mob control tactics.”,https://www.politifact.com/factchecks/2021/jan/07/mo-brooks/mo-brooks-claim-antifa-orchestrated-capitol-riots-/,"nuary 7, 2021",Mo Brooks,pants-fire
923,"Video shows police removing disabled protesters from the Capitol on Jan. 6, 2021.",https://www.politifact.com/factchecks/2021/jan/07/viral-image/protest-footage-2017-confuses-some-social-media-us/,"nuary 7, 2021",Viral image,false
924,"Voting machines didn’t work in heavily GOP areas for the Georgia runoff elections, leaving some voters unable to cast ballots.",https://www.politifact.com/factchecks/2021/jan/07/facebook-posts/no-sign-widespread-voting-machine-problems-gop-are/,"nuary 7, 2021",Facebook posts,barely-true
925,A facial recognition firm “confirmed antifa infiltrated the Trump rally in D.C.”,https://www.politifact.com/factchecks/2021/jan/07/facebook-posts/no-facial-recognition-didnt-confirm-antifa-infiltr/,"nuary 7, 2021",Facebook posts,false
926,A man who stormed the U.S. Capitol in a horned fur cap is an “Antifa thug.”,https://www.politifact.com/factchecks/2021/jan/07/facebook-posts/face-painted-man-horned-fur-cap-capitol-riot-suppo/,"nuary 7, 2021",Facebook posts,pants-fire
927,“Georgia and Kansas Capitol buildings have been stormed by protesters.”,https://www.politifact.com/factchecks/2021/jan/07/facebook-posts/no-protesters-didnt-storm-georgia-and-kansas-capit/,"nuary 6, 2021",Facebook posts,false
928,"""We won. We won in a landslide. This was a landslide.”",https://www.politifact.com/factchecks/2021/jan/07/donald-trump/trump-clings-fantasy-landslide-victory-egging-supp/,"nuary 6, 2021",Donald Trump,pants-fire
929,"""Antifa"" is to blame for storming the U.S. Capitol.",https://www.politifact.com/factchecks/2021/jan/07/shannon-grove/high-ranking-california-republican-lawmaker-pushes/,"nuary 6, 2021",Shannon Grove,pants-fire
930,"Google and Apple maps won’t give directions to Washington, D.C. because “they don’t want you going to a certain big rally.”",https://www.politifact.com/factchecks/2021/jan/06/facebook-posts/looking-claims-google-and-apple-maps-are-blocking-/,"nuary 6, 2021",Facebook posts,barely-true
931,"“39% of Americans … 31% of independents ... 17% of Democrats believe the election was rigged.""",https://www.politifact.com/factchecks/2021/jan/06/ted-cruz/ted-cruzs-misleading-statement-people-who-believe-/,"nuary 6, 2021",Ted Cruz,barely-true
932,"“Judge Rules Over 200,000 Biden Votes Are Illegitimate In Wisconsin.”",https://www.politifact.com/factchecks/2021/jan/06/facebook-posts/no-court-did-not-rule-200000-wisconsin-ballots-wer/,"nuary 6, 2021",Facebook posts,false
933,Photo shows “2 sitting senators counting ballots” in Georgia.,https://www.politifact.com/factchecks/2021/jan/06/viral-image/photo-shows-poll-workers-counting-ballots-pennsylv/,"nuary 6, 2021",Viral image,false
934,Says shredded ballots were found in Dell boxes in Georgia,https://www.politifact.com/factchecks/2021/jan/06/facebook-posts/no-there-were-no-shredded-ballots-found-during-geo/,"nuary 6, 2021",Facebook posts,pants-fire
935,"""They just happened to find 50,000 ballots (in the Georgia U.S. Senate runoff elections) late last night.""",https://www.politifact.com/factchecks/2021/jan/06/donald-trump/no-evidence-georgia-happened-find-ballots-hurt-rep/,"nuary 6, 2021",Donald Trump,pants-fire
936,Says Georgia Secretary of State Brad Raffensperger “faces espionage charges.”,https://www.politifact.com/factchecks/2021/jan/06/facebook-posts/no-grounds-claim-raffensperger-could-face-spy-char/,"nuary 6, 2021",Facebook posts,false
937,"Says City Blue Imaging Services in Rochester, N.Y. “printed ballots there. If you search them you’ll see they’re the ones who had ballots misprint errors for the ballots sent to NYC.”",https://www.politifact.com/factchecks/2021/jan/06/facebook-posts/no-rochester-ny-imaging-services-business-burned-d/,"nuary 6, 2021",Facebook posts,false
938,"Photo shows people protesting the 2020 election in Washington D.C. on Jan. 5, 2021.",https://www.politifact.com/factchecks/2021/jan/06/viral-image/photos-march-our-lives-demonstration-2018/,"nuary 6, 2021",Viral image,false
939,"“Dems Pass Bill to Vaccinate Children Without Parental Knowledge, Consent.”",https://www.politifact.com/factchecks/2021/jan/06/viral-image/posts-about-dc-bill-allows-children-be-vaccinated-/,"nuary 6, 2021",Viral image,half-true
940,There are “absolutely no patients” at Los Angeles hospital considered the center of region's COVID-19 surge.,https://www.politifact.com/factchecks/2021/jan/06/facebook-posts/yes-la-hospitals-were-packed-covid-19-patients-con/,"nuary 6, 2021",Facebook posts,pants-fire
941,“The Vice President has the power to reject fraudulently chosen electors.”,https://www.politifact.com/factchecks/2021/jan/05/donald-trump/does-mike-pence-have-power-reject-electoral-colleg/,"nuary 5, 2021",Donald Trump,false
942,“President-elect Biden steps down as president-elect.”,https://www.politifact.com/factchecks/2021/jan/05/viral-image/no-biden-hasnt-stepped-down/,"nuary 5, 2021",Viral image,pants-fire
943,“1776 flag flying over White House!” in January 2021. “Revolution Signal.”,https://www.politifact.com/factchecks/2021/jan/05/blog-posting/photo-flag-over-white-house-2019/,"nuary 5, 2021",Bloggers,false
944,On whether he’ll object to the Electoral College results,https://www.politifact.com/factchecks/2021/jan/05/ron-johnson/sen-ron-johnson-changes-tune-objecting-electoral-c/,"nuary 5, 2021",Ron Johnson,full-flop
945,New York “is trying to pass a bill that would allow them to round up non mask wearers and people who don’t want to take the vaccine into concentration camps. Then with a court order they can force vaccinate you.”,https://www.politifact.com/factchecks/2021/jan/05/facebook-posts/new-york-isnt-trying-pass-bill-put-non-mask-wearer/,"nuary 5, 2021",Facebook posts,false
946,"Says Mayor Muriel Bowser “ordered all hotels, restaurants, grocery stores, gas stations, and convenience stores to close Jan. 4, 5 and 6 to discourage Trump supporters from gathering in D.C.”",https://www.politifact.com/factchecks/2021/jan/05/viral-image/no-dc-hasnt-closed-hotels-grocery-stores-and-more-/,"nuary 5, 2021",Viral image,false
947,Wisconsin Legislature “Will Likely Decertify State and Award to President Trump.”,https://www.politifact.com/factchecks/2021/jan/05/facebook-posts/no-wisconsin-bill-does-not-decertify-and-give-trum/,"nuary 5, 2021",Facebook posts,pants-fire
948,"“You had (4,925) out-of-state voters… in Georgia.”",https://www.politifact.com/factchecks/2021/jan/04/donald-trump/no-evidence-4925-voters-out-state-voted-georgia-pr/,"nuary 4, 2021",Donald Trump,false
949,"After a “major water main break,” Georgia election workers counted “18,000 ballots, all for Biden” that they pulled from suitcases and with no election observers present.",https://www.politifact.com/factchecks/2021/jan/04/donald-trump/trump-rehashes-debunked-claim-about-suitcases-ball/,"nuary 4, 2021",Donald Trump,pants-fire
950,“Congress has one job here: to count electoral votes that have in fact been cast by any state.”,https://www.politifact.com/factchecks/2021/jan/04/mike-gallagher/congresss-task-simply-count-electoral-votes/,"nuary 4, 2021",Mike Gallagher,true
951,Photo shows “people coming from California to Washington DC” to protest election results.,https://www.politifact.com/factchecks/2021/jan/04/viral-image/photo-shows-october-trump-parade-new-york/,"nuary 4, 2021",Viral image,false
952,"Says COVID-19 vaccines have “experimental technology never before used on humans” and that some “contain nanochips which can electronically track recipients.""",https://www.politifact.com/factchecks/2021/jan/04/viral-image/covid-19-vaccines-dont-use-experimental-technology/,"nuary 4, 2021",Viral image,false
953,“We won Georgia easily. We won it by hundreds of thousands of votes.”,https://www.politifact.com/factchecks/2021/jan/04/donald-trump/donald-trump-falsely-claims-georgia-victory-record/,"nuary 4, 2021",Donald Trump,pants-fire
954,"A registered nurse in Nashville, Tenn., developed Bell’s Palsy after receiving the COVID-19 vaccine.",https://www.politifact.com/factchecks/2020/dec/30/youtube-videos/nashville-nurse-did-not-develop-bells-palsy-after-/,"mber 30, 2020",YouTube videos,false
955,"“In my state, as in many other states, we have governors who are closing down businesses again.”",https://www.politifact.com/factchecks/2020/dec/30/pat-toomey/fact-checking-sen-pat-toomeys-comment-pa-gov-tom-w/,"mber 30, 2020",Pat Toomey,true
956,"North Carolina Gov. Roy Cooper ""has not left the Governor's Mansion since the start of the #COVID19 crisis.""",https://www.politifact.com/factchecks/2020/dec/30/north-carolina-republican-party/nc-gop-wrong-about-roy-cooper-staying-mansion/,"mber 29, 2020",North Carolina Republican Party,pants-fire
957,"The Christmas Day explosion in Nashville, Tenn., was the result of a “missile strike.”",https://www.politifact.com/factchecks/2020/dec/29/facebook-posts/nashville-explosion-was-suicide-bombing-not-missil/,"mber 29, 2020",Facebook posts,pants-fire
958,News outlets reported that the Nashville bomber died of COVID-19.,https://www.politifact.com/factchecks/2020/dec/29/facebook-posts/man-behind-nashville-bombing-was-killed-blast-no-n/,"mber 29, 2020",Facebook posts,pants-fire
959,The Nashville bombing was an attempt to stop an AT&T audit into Dominion software and cover up election corruption.,https://www.politifact.com/factchecks/2020/dec/29/facebook-posts/no-t-was-not-conducting-audit-dominion-voting-syst/,"mber 29, 2020",Facebook posts,pants-fire
960,Cornell University professor Robert Oswald said “COVID-19 was imaginary and fictitious.”,https://www.politifact.com/factchecks/2020/dec/29/facebook-posts/cornell-virologist-did-not-say-covid-19-was-hoax/,"mber 29, 2020",Facebook posts,pants-fire
961,Says a recent study found no asymptomatic or presymptomatic spread of COVID.,https://www.politifact.com/factchecks/2020/dec/28/facebook-posts/no-recent-study-didnt-find-no-asymptomatic-spread-/,"mber 28, 2020",Facebook posts,barely-true
962,Says “Dr. Fauci lied about masks in March.”,https://www.politifact.com/factchecks/2020/dec/28/marco-rubio/marco-rubio-says-anthony-fauci-lied-about-masks-fa/,"mber 28, 2020",Marco Rubio,false
963,"""‘Simple math’ shows Biden claims 13 million more votes than there were eligible voters who voted in 2020 election.”",https://www.politifact.com/factchecks/2020/dec/23/facebook-posts/bogus-analysis-leads-ridiculous-claim-about-biden-/,"mber 23, 2020",Facebook posts,pants-fire
964,"Says COVID-19 relief bill “provides more funding to foreign governments and to American arts centers, than to the American people.”",https://www.politifact.com/factchecks/2020/dec/22/facebook-posts/facebook-posts-wrongly-say-covid-19-bill-includes-/,"mber 22, 2020",Facebook posts,barely-true
965,"“CDC COVID-19 survival rates” are 99.997% for people ages 0 to 19, 99.98% for people ages 20 to 49, 99.5% for people ages 50 to 69, and 94.6% for people over 70.",https://www.politifact.com/factchecks/2020/dec/22/tweets/viral-tweet-cites-made-cdc-covid-19-survival-rates/,"mber 22, 2020",Tweets,false
966,Says that the oil and gas industry comprises 35% of the Texas economy.,https://www.politifact.com/factchecks/2020/dec/22/christi-craddick/examining-texas-oil-and-gas-industry-amid-pandemic/,"mber 22, 2020",Christi Craddick,mostly-true
967,“Dead people also voted.”,https://www.politifact.com/factchecks/2020/dec/22/claudia-tenney/ny-22-some-voters-cast-ballots-mail-and-died-elect/,"mber 22, 2020",Claudia Tenney,pants-fire
968,“Nurse passes out on live TV after taking vaccine.”,https://www.politifact.com/factchecks/2020/dec/21/facebook-posts/anti-vaccine-video-fainting-nurse-lacks-context/,"mber 21, 2020",Facebook posts,barely-true
969,Chief Justice John Roberts visited Jeffrey Epstein's private island.,https://www.politifact.com/factchecks/2020/dec/21/facebook-posts/no-viral-photo-doesnt-show-chief-justice-john-robe/,"mber 21, 2020",Facebook posts,false
970,“This is a phony pandemic.”,https://www.politifact.com/factchecks/2020/dec/21/bob-good/contrary-global-experts-bob-good-says-pandemic-pho/,"mber 21, 2020",Bob Good,pants-fire
971,“Jurisdictions representing about 80% of WI residents have passed referendums or resolutions in favor of fair maps.”,https://www.politifact.com/factchecks/2020/dec/21/chris-larson/yes-majority-wisconsin-jurisdictions-support-nonpa/,"mber 21, 2020",Chris Larson,true
972,"""New data shows in-person learning isn't driving spikes in cases.""",https://www.politifact.com/factchecks/2020/dec/18/mike-gallagher/data-shows-person-learning-safer-expected-not-driv/,"mber 18, 2020",Mike Gallagher,true
973,Says the new coronavirus vaccines contain toxic ingredients and are more dangerous than getting COVID-19.,https://www.politifact.com/factchecks/2020/dec/18/facebook-posts/no-new-coronavirus-vaccines-are-not-more-dangerous/,"mber 18, 2020",Facebook posts,pants-fire
974,“21% of people are having serious adverse events from (the Moderna) vaccine.”,https://www.politifact.com/factchecks/2020/dec/18/blog-posting/video-shared-facebook-inflates-risk-moderna-vaccin/,"mber 18, 2020",Bloggers,false
975,"Says that guidance urging vaccinated people to avoid travel and continue wearing masks is ""profoundly anti-science.""",https://www.politifact.com/factchecks/2020/dec/18/ted-cruz/mask-guidance-vaccinated-people-based-science/,"mber 18, 2020",Ted Cruz,pants-fire
976,A 2018 executive order gives Trump the ability to impose martial law,https://www.politifact.com/factchecks/2020/dec/18/facebook-posts/president-united-states-cant-unilaterally-impose-m/,"mber 18, 2020",Facebook posts,pants-fire
977,President Donald Trump will hold his inauguration for a second term at Mar-a-Lago,https://www.politifact.com/factchecks/2020/dec/18/facebook-posts/dont-fall-fake-post-trump-will-hold-inauguration-m/,"mber 18, 2020",Facebook posts,pants-fire
978,Say North Carolina Gov. Roy Cooper was arrested for driving while intoxicated in Stanly County.,https://www.politifact.com/factchecks/2020/dec/18/facebook-posts/no-roy-cooper-did-not-get-dui-stanly-county/,"mber 18, 2020",Facebook posts,false
979,"Says Raphael Warnock has ""said we need to open up the prisons"" and ""eliminate cash bail.""",https://www.politifact.com/factchecks/2020/dec/18/kelly-loeffler/ga-race-kelly-loeffler-distorts-raphael-warnocks-s/,"mber 18, 2020",Kelly Loeffler,barely-true
980,A Georgia Bureau of Investigation agent was killed for investigating the election.,https://www.politifact.com/factchecks/2020/dec/17/facebook-posts/no-georgia-agent-wasnt-killed-investigating-electi/,"mber 17, 2020",Facebook posts,false
981,“Schools that are consistently implementing COVID-19 mitigation strategies remain among the safest places for our students.”,https://www.politifact.com/factchecks/2020/dec/17/mike-parson/how-safe-are-schools-covid-19-mitigation-strategie/,"mber 17, 2020",Mike Parson,mostly-true
982,"“Millions of Hubbell and Bloomberg dollars wasn’t enough to overcome the Iowa House Republican avalanche of success.""",https://www.politifact.com/factchecks/2020/dec/17/iowa-republican-party/fred-hubbell-donated-big-iowa-dems-mike-bloomberg-/,"mber 17, 2020",Iowa Republican Party,half-true
983,“This whole COVID thing? It’s a SIMULATION.”,https://www.politifact.com/factchecks/2020/dec/17/facebook-posts/no-covid-19-not-simulation/,"mber 17, 2020",Facebook posts,pants-fire
984,"“Tens and tens of thousands of bridges are in disrepair, some on the verge of collapse.”",https://www.politifact.com/factchecks/2020/dec/17/joe-biden/us-bridges-need-fixing-joe-biden-overstates-immedi/,"mber 17, 2020",Joe Biden,half-true
985,“One of the first nurses to receive the vaccine in AL is now dead.”,https://www.politifact.com/factchecks/2020/dec/17/facebook-posts/alabama-nurse-did-not-die-after-taking-coronavirus/,"mber 17, 2020",Facebook posts,false
986,An Austrian politician “exposed the defectiveness of the government’s Covid-19 tests by demonstrating how even a glass of Coca Cola will test positive for Covid-19.”,https://www.politifact.com/factchecks/2020/dec/17/instagram-posts/austrian-politician-goofed-testing-coca-cola-sampl/,"mber 17, 2020",Instagram posts,false
987,"“6 states will cast their (electoral) votes for Trump AND for Biden,” which will lead to a second Trump term.",https://www.politifact.com/factchecks/2020/dec/16/instagram-posts/no-key-swing-states-did-not-cast-electoral-votes-b/,"mber 16, 2020",Instagram posts,false
988,"The American Medical Association rescinded a previous statement and now says ""hydroxychloroquine is okay"" for COVID-19.",https://www.politifact.com/factchecks/2020/dec/16/rush-limbaugh/no-american-medical-association-didnt-rescind-stat/,"mber 16, 2020",Rush Limbaugh,false
989,“Government imposed lockdowns do NOT reduce [COVID-19] cases or stop spikes.”,https://www.politifact.com/factchecks/2020/dec/16/james-gallagher/yes-government-shutdowns-help-slow-covid-19-when-c/,"mber 16, 2020",James Gallagher,false
990,“NASA confirms earth will go dark for 6 days in December 2020.”,https://www.politifact.com/factchecks/2020/dec/16/blog-posting/no-nasa-didnt-confirm-earth-will-go-dark-six-days/,"mber 16, 2020",Bloggers,pants-fire
991,"Says Kelly Loeffler supports ""raising taxes on Georgia's middle class.""",https://www.politifact.com/factchecks/2020/dec/16/raphael-warnock/kelly-loefflers-support-tax-cut-expires-isnt-suppo/,"mber 16, 2020",Raphael Warnock,false
992,"“68% error rate in Michigan Voting Machines. Should be, by law, a tiny percentage of one percent.”",https://www.politifact.com/factchecks/2020/dec/16/donald-trump/trump-tweet-wrongly-suggests-there-were-defects-mi/,"mber 15, 2020",Donald Trump,false
993,The percentage of Americans with natural immunity from getting COVID-19 is “a very powerful vaccine in itself.”,https://www.politifact.com/factchecks/2020/dec/15/donald-trump/trumps-wrong-15-immunity-resulting-infection-isnt-/,"mber 15, 2020",Donald Trump,false
994,An optional microchip for COVID-19 vaccines “would give officials information on who has and has not been vaccinated” and “tracks the location of the patient.”,https://www.politifact.com/factchecks/2020/dec/15/facebook-posts/no-chip-covid-19-vaccine-syringes-would-not-be-inj/,"mber 15, 2020",Facebook posts,false
995,“Pope Francis says covid vaccine will now be required to enter heaven.”,https://www.politifact.com/factchecks/2020/dec/15/facebook-posts/facebook-posts-share-satire-about-pope-francis-cov/,"mber 15, 2020",Facebook posts,pants-fire
996,“Wisconsin is one of the few states that doesn’t allow absentee ballots to be processed before Election Day.”,https://www.politifact.com/factchecks/2020/dec/15/tim-carpenter/wisconsin-one-few-states-ban-absentee-ballot-proce/,"mber 15, 2020",Tim Carpenter,true
997,The CDC delivers groceries and cleaning products “twice while you’re in quarantine.”,https://www.politifact.com/factchecks/2020/dec/14/instagram-posts/no-cdc-isnt-delivering-groceries-and-cleaning-prod/,"mber 14, 2020",Instagram posts,false
998,“Biden did not win legally.”,https://www.politifact.com/factchecks/2020/dec/14/facebook-posts/joe-biden-won-presidential-election-legally/,"mber 14, 2020",Facebook posts,pants-fire
999,"Says Jon Ossoff ""wants total, blanket amnesty and he wants a total lockdown.""",https://www.politifact.com/factchecks/2020/dec/14/david-perdue/jon-ossoff-isnt-total-amnesty-backs-lockdown-only-/,"mber 14, 2020",David Perdue,barely-true
1000,The COVID-19 pandemic has caused four of the eight “deadliest days in American history.”,https://www.politifact.com/factchecks/2020/dec/11/facebook-posts/chart-showing-deadliest-days-american-history-cont/,"mber 11, 2020",Facebook posts,half-true
1001,“FDA announces 2 deaths of Pfizer vaccine trial participants from ‘serious adverse events.’”,https://www.politifact.com/factchecks/2020/dec/11/blog-posting/two-vaccine-trial-participants-died-fda-didnt-conn/,"mber 11, 2020",Bloggers,barely-true
1002,The number of people who have died in the U.S. in 2020 is on par with years prior to COVID-19.,https://www.politifact.com/factchecks/2020/dec/11/facebook-posts/chart-comparing-2020-us-death-toll-previous-years-/,"mber 11, 2020",Facebook posts,false
1003,Says that this year is the first time during his 27 years as senator “that two African Americans have ever served on the same (Senate) committee.”,https://www.politifact.com/factchecks/2020/dec/11/royce-west/examining-black-history-texas-senate/,"mber 11, 2020",Royce West,false
1004,"""If all goes 'well' it'll become federal law to get the (COVID-19) vaccine.""",https://www.politifact.com/factchecks/2020/dec/11/facebook-posts/post-falsely-claims-federal-law-would-require-vacc/,"mber 11, 2020",Facebook posts,false
1005,“Biden confirms agenda to microchip the masses”,https://www.politifact.com/factchecks/2020/dec/11/instagram-posts/biden-did-not-confirm-or-support-agenda-microchip-/,"mber 11, 2020",Instagram posts,pants-fire
1006,"Says David Perdue “hasn't held a single public town hall meeting in six years” and “sells four meetings a year and a retreat on a private island for a $7,500 corporate PAC check.”",https://www.politifact.com/factchecks/2020/dec/11/jon-ossoff/sen-david-perdue-hasnt-held-town-halls-did-offer-a/,"mber 11, 2020",Jon Ossoff,mostly-true
1007,Photo shows “MAYHEM in Oregon!”,https://www.politifact.com/factchecks/2020/dec/11/viral-image/photo-protests-paris-not-portland-ore/,"mber 11, 2020",Viral image,false
1008,“No candidate has ever won both Florida and Ohio and lost.”,https://www.politifact.com/factchecks/2020/dec/10/donald-trump/trump-said-no-candidate-has-won-florida-and-ohio-a/,"mber 10, 2020",Donald Trump,pants-fire
1009,“Voting machines found in bus in Arizona.”,https://www.politifact.com/factchecks/2020/dec/10/facebook-posts/no-voting-machines-were-not-found-arizona-bus/,"mber 10, 2020",Facebook posts,false
1010,"""You know what the biggest lie is, is that restaurants are spreaders of COVID. There's no science for that.""",https://www.politifact.com/factchecks/2020/dec/10/laura-ingraham/ingraham-wrongly-claims-no-science-suggests-restau/,"mber 10, 2020",Laura Ingraham,false
1011,Says Texas Rep. Terry Meza said changing the castle doctrine is meant to create a “peaceful” transfer of property from victims to thieves,https://www.politifact.com/factchecks/2020/dec/10/facebook-posts/comments-about-texas-castle-doctrine-law-were-sati/,"mber 10, 2020",Facebook posts,pants-fire
1012,"“40 years of research, and no vaccine for HIV. At least 100 years of research and no vaccine for cancer. Ongoing research and no vaccine for the common cold. Now in less than a year, there's a vaccine for COVID-19?”",https://www.politifact.com/factchecks/2020/dec/10/facebook-posts/fact-checking-facebook-post-comparing-covid-19-vac/,"mber 10, 2020",Facebook posts,barely-true
1013,"“In Wisconsin, there are approximately 70,000 absentee ballots that do not have matching ballot applications as required by law.”",https://www.politifact.com/factchecks/2020/dec/10/donald-trump/trump-wrong-multiple-ways-wisconsin-absentee-ballo/,"mber 10, 2020",Donald Trump,pants-fire
1014,“Head of Pfizer research: Covid vaccine is female sterilization.”,https://www.politifact.com/factchecks/2020/dec/10/blog-posting/no-pfizers-head-research-didnt-say-covid-19-vaccin/,"mber 10, 2020",Bloggers,false
1015,"The probability of Biden winning in Wisconsin, Georgia, Michigan and Pennsylvania “given President Trump’s early lead ... is less than one in a quadrillion” in each state.",https://www.politifact.com/factchecks/2020/dec/10/facebook-posts/texas-lawsuit-statistics-fraud-wisconsin-michigan/,"ember 9, 2020",Facebook posts,pants-fire
1016,Images that show a 90-year-old UK woman receiving the Pfizer COVID-19 vaccine appeared online in a CNN news story in October.,https://www.politifact.com/factchecks/2020/dec/09/facebook-posts/conspiracy-theory-targets-first-recipient-uk-covid/,"ember 9, 2020",Facebook posts,false
1017,The Supreme Court “has decided to take up the Texas case.”,https://www.politifact.com/factchecks/2020/dec/09/facebook-posts/no-supreme-court-hasnt-taken-texas-election-case-y/,"ember 9, 2020",Facebook posts,false
1018,"A forensics examination of a Ware County, Ga., Dominion Voting Systems machine found votes were switched from Donald Trump to Joe Biden.",https://www.politifact.com/factchecks/2020/dec/09/jody-hice/dominion-voting-machines-didnt-switch-37-votes-bid/,"ember 9, 2020",Jody Hice,false
1019,"""The FDA knows that rushed-to-market COVID-19 vaccines may cause a wide range of life-threatening side effects, including death.""",https://www.politifact.com/factchecks/2020/dec/09/blog-posting/alternative-health-website-spreads-false-claim-abo/,"ember 9, 2020",Bloggers,barely-true
1020,"Says Kelly Loeffler “welcomed the support of a QAnon conspiracy theorist, and she sat down with a white supremacist for an interview.”",https://www.politifact.com/factchecks/2020/dec/09/raphael-warnock/fact-checking-claim-ties-sen-kelly-loeffler-qanon-/,"ember 9, 2020",Raphael Warnock,half-true
1021,"""In Chesterfield (Va.), the Southside precinct is infamous for having over 100% of the vote count…”",https://www.politifact.com/factchecks/2020/dec/09/amanda-chase/amanda-chase-makes-bogus-claim-voting-fraud-virgin/,"ember 9, 2020",Amanda Chase,pants-fire
